Date,Portfolio 1,Portfolio 2,Portfolio 3,Portfolio 4,Portfolio 5
1936-04,-0.177814,-0.135953,-0.114236,-0.102988,-0.080068
1936-05,0.061329,0.04635,0.042138,0.042076,0.04994
1936-06,-0.020065,-0.016957,0.002351,-0.002163,0.021428
1936-07,0.075019,0.090717,0.091674,0.077675,0.055502
1936-08,0.030934,0.017521,0.02131,0.022653,0.005001
1936-09,0.059219,0.043308,0.034577,0.011277,0.005662
1936-10,0.081021,0.060195,0.053032,0.063429,0.062845
1936-11,0.189661,0.089532,0.071848,0.043065,0.026931
1936-12,0.041952,0.026229,0.02405,0.011372,0.003966
1937-01,0.146936,0.069695,0.066764,0.050445,0.024561
1937-02,0.04089,0.013584,0.022396,0.023123,0.009168
1937-03,0.019164,-0.028336,-0.009242,0.000121,0.004593
1937-04,-0.138373,-0.113088,-0.089189,-0.089232,-0.075618
1937-05,-0.041424,-0.023199,-0.026206,-0.023462,-0.016782
1937-06,-0.119123,-0.100078,-0.078746,-0.054611,-0.047113
1937-07,0.122184,0.097128,0.092723,0.084238,0.09544
1937-08,-0.070365,-0.048286,-0.049953,-0.050219,-0.051562
1937-09,-0.227061,-0.21521,-0.209913,-0.186372,-0.146737
1937-10,-0.088834,-0.118085,-0.113634,-0.097999,-0.099641
1937-11,-0.140634,-0.127373,-0.117137,-0.108336,-0.087555
1937-12,-0.151295,-0.130199,-0.12465,-0.080273,-0.05077
1938-01,0.08381,0.054193,0.039022,0.012663,-0.004632
1938-02,0.01952,0.061034,0.072756,0.061637,0.070331
1938-03,-0.323231,-0.298824,-0.293904,-0.279656,-0.238807
1938-04,0.243613,0.227421,0.207623,0.176602,0.141036
1938-05,-0.087462,-0.082113,-0.076628,-0.067822,-0.044528
1938-06,0.322889,0.33798,0.318857,0.276745,0.244652
1938-07,0.153524,0.153774,0.119962,0.111351,0.061158
1938-08,-0.121221,-0.068709,-0.056552,-0.046963,-0.036512
1938-09,-0.025266,-0.034244,-0.017507,-0.014446,0.00471
1938-10,0.194019,0.175286,0.13222,0.13096,0.081264
1938-11,-0.075034,-0.046159,-0.031072,-0.022028,-0.02767
1938-12,-0.013856,0.027206,0.037075,0.052158,0.041545
1939-01,-0.062121,-0.085071,-0.083963,-0.080322,-0.067426
1939-02,0.025156,0.041142,0.041423,0.047735,0.033218
1939-03,-0.180302,-0.19566,-0.183638,-0.182873,-0.138461
1939-04,0.002456,0.014237,-0.007984,-0.00014,-0.007815
1939-05,0.059481,0.091862,0.094423,0.093862,0.067849
1939-06,-0.10684,-0.099992,-0.087069,-0.076801,-0.062593
1939-07,0.130285,0.150258,0.150588,0.137356,0.099427
1939-08,-0.112778,-0.123801,-0.108686,-0.108616,-0.082264
1939-09,0.821831,0.413048,0.307769,0.214706,0.163891
1939-10,-0.03926,-0.002983,-0.003406,0.002269,-0.003436
1939-11,-0.135886,-0.099031,-0.072517,-0.070244,-0.051085
1939-12,-0.038645,0.017063,0.025598,0.024422,0.022613
1940-01,-0.006583,-0.031164,-0.016293,-0.034525,-0.023054
1940-02,0.050536,0.025192,0.02795,0.019815,0.004459
1940-03,0.029969,0.023438,0.025362,0.022565,0.012329
1940-04,0.009166,0.027197,0.013664,0.007019,-0.002929
1940-05,-0.288922,-0.290614,-0.271028,-0.270331,-0.230067
1940-06,0.05261,0.066132,0.054416,0.080653,0.049087
1940-07,0.029133,0.033217,0.051055,0.036308,0.026853
1940-08,0.016684,0.029315,0.01515,0.022065,0.018482
1940-09,0.036886,0.039332,0.036341,0.020492,0.019374
1940-10,0.036824,0.062714,0.033417,0.069599,0.02989
1940-11,0.004763,-0.001578,-0.003655,-0.014335,-0.024773
1940-12,-0.072948,-0.031866,-0.014818,-0.0188,-0.002967
